year,emissions_gtc,emissions_ppm,emissions_fossil_excl_cement_gtc,emissions_fossil_excl_cement_ppm,emissions_fossil_cement_gtc,emissions_fossil_cement_ppm,emissions_fossil_cement_luc_gtc,emissions_fossil_cement_luc_ppm,observed_law_dome_instrumental_spliced_ppm,observed_noaa_global_ppm,observed_noaa_mauna_loa_ppm
2014,11.309406818181818,5.32457948125321,9.154217181818181,4.309895095017976,9.561249272727272,4.501529789419619,11.309406818181818,5.32457948125321,397.34,397.34,398.81
2015,11.315049,5.327235875706214,9.145969636363636,4.306012069851053,9.538878545454546,4.490997431946584,11.315049,5.327235875706214,399.65,399.65,401.01
2016,11.007902999999999,5.182628531073446,9.138984818181818,4.30272354904982,9.541570363636362,4.492264766307138,11.007902999999999,5.182628531073446,403.07,403.07,404.41
2017,11.142546,5.246019774011299,9.285896454545455,4.371890986132511,9.69497290909091,4.564488186954288,11.142546,5.246019774011299,405.22,405.22,406.76
2018,11.224867636363637,5.284777606574217,9.471538909090908,4.459293271700051,9.893406818181818,4.657912814586543,11.224867636363637,5.284777606574217,407.61,407.61,408.72
2019,11.328604636363636,5.333618002054442,9.55508509090909,4.498627632254751,9.99573790909091,4.706091294298921,11.328604636363636,5.333618002054442,410.07,410.07,411.65
2020,10.707488181818183,5.04119029275809,9.032781272727272,4.252721879815099,9.475704545454546,4.4612544940934775,10.707488181818183,5.04119029275809,412.44,412.44,414.21
2021,11.20563190909091,5.275721237801746,9.48090790909091,4.463704288649204,9.93551290909091,4.67773677452491,11.20563190909091,5.275721237801746,414.7,414.7,416.41
2022,11.42341009090909,5.37825333846944,9.687738,4.561081920903955,10.118303181818183,4.76379622496148,11.42341009090909,5.37825333846944,417.08,417.08,418.53
2023,11.56762881818182,5.446152927580894,9.853309636363637,4.639034668721109,10.273387636363637,4.836811504879302,11.56762881818182,5.446152927580894,419.35,419.35,421.08
2024,11.661739636363636,5.490461222393425,10.00946890909091,4.712555983564458,10.411146545454546,4.901669748330765,11.661739636363636,5.490461222393425,422.79,422.79,424.61
